type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
conv2d,PointWise,1,576,22,22,1,1,128,22,22,35684480,74240,78.469,454758
conv2d,PointWise,1,8,53,53,1,1,48,53,53,1078704,576,7.156,150741
eltwise,,,,,,,,40,10,10,4000,0,0.351,11396
pad,,,96,14,14,,,96,16,16,0,0,0.035,
conv2d,PointWise,1,24,48,48,1,1,48,48,48,2654256,1344,9.431,281439
conv2d,PointWise,1,104,40,40,1,1,24,40,40,3993624,2592,9.242,432116
conv2d,PointWise,1,40,15,15,1,1,224,15,15,2016224,9856,7.271,277296
pad,,,320,18,18,,,320,24,24,0,0,0.286,
conv2d,PointWise,1,64,32,32,1,1,64,32,32,4194368,4352,10.33,406037
pad,,,80,12,12,,,80,16,16,0,0,0.024,
conv2d,PointWise,1,80,4,4,1,1,240,4,4,307440,20160,0.901,341220
conv2d,PointWise,1,240,4,4,1,1,96,4,4,368736,23424,0.895,411995
conv2d,PointWise,1,128,5,5,1,1,512,5,5,1638912,67584,3.984,411373
pad,,,96,24,24,,,96,26,26,0,0,0.112,
conv2d,PointWise,1,40,3,3,1,1,240,3,3,86640,10560,0.465,186322
conv2d,PointWise,1,240,3,3,1,1,40,3,3,86440,9760,0.264,327424
conv2d,PointWise,1,96,2,2,1,1,576,2,2,221760,57600,1.169,189700
conv2d,PointWise,1,576,2,2,1,1,128,2,2,295040,74240,1.153,255888
pad,,,64,8,8,,,64,10,10,0,0,0.009,
conv2d,PointWise,1,32,8,8,1,1,96,8,8,196704,3456,0.602,326750
conv2d,PointWise,1,88,44,44,1,1,32,44,44,5451808,2944,12.815,425423
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,10.642,471520
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,10.58,474283
pad,,,192,3,3,,,192,5,5,0,0,0.006,
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,10.647,471298
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,10.532,476445
eltwise,,,,,,,,32,3,3,288,0,0.027,10666
pad,,,96,28,28,,,96,32,32,0,0,0.168,
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,15.531,323090
conv2d,PointWise,1,64,48,48,1,1,192,48,48,28311744,13056,67.27,420867
conv2d,PointWise,1,192,24,24,1,1,80,24,24,8847440,15680,19.2,460804
conv2d,PointWise,1,8,48,48,1,1,24,48,48,442392,288,2.967,149104
conv2d,PointWise,1,24,48,48,1,1,8,48,48,442376,224,1.63,271396
pad,,,40,3,3,,,40,5,5,0,0,0.003,
conv2d,PointWise,1,32,32,32,1,1,192,32,32,6291648,6912,19.274,326431
conv2d,PointWise,1,192,32,32,1,1,32,32,32,6291488,6272,13.339,471661
eltwise,,,,,,,,40,3,3,360,0,0.033,10909
pad,,,208,4,4,,,208,6,6,0,0,0.009,
conv2d,PointWise,1,160,7,7,1,1,960,7,7,7527360,157440,15.971,471314
conv2d,PointWise,1,960,7,7,1,1,160,7,7,7526560,154240,16.997,442816
conv2d,PointWise,1,64,28,28,1,1,128,28,28,6422656,8704,16.016,401014
eltwise,,,,,,,,208,4,4,3328,0,0.293,11358
pad,,,192,6,6,,,192,8,8,0,0,0.015,
conv2d,PointWise,1,144,5,5,1,1,144,5,5,518544,21312,1.236,419533
conv2d,PointWise,1,32,8,8,1,1,96,8,8,196704,3456,0.597,329487
conv2d,PointWise,1,96,8,8,1,1,80,8,8,491600,8000,1.527,321938
eltwise,,,,,,,,192,6,6,6912,0,0.604,11443
pad,,,832,12,12,,,832,18,18,0,0,0.383,
conv2d,PointWise,1,144,6,6,1,1,864,6,6,4479840,127872,9.888,453058
pad,,,112,32,32,,,112,34,34,0,0,0.225,
conv2d,PointWise,1,864,6,6,1,1,144,6,6,4479120,124992,10.215,438484
pad,,,640,4,4,,,640,6,6,0,0,0.028,
conv2d,PointWise,1,104,28,28,1,1,104,28,28,8479848,11232,20.189,420023
conv2d,PointWise,1,8,24,24,1,1,48,24,24,221232,576,1.616,136900
conv2d,PointWise,1,704,3,3,1,1,704,3,3,4461248,498432,12.465,357901
eltwise,,,,,,,,640,4,4,10240,0,0.898,11403
pad,,,96,36,36,,,96,42,42,0,0,0.292,
conv2d,PointWise,1,704,3,3,1,1,704,3,3,4461248,498432,12.451,358304
conv2d,PointWise,1,64,12,12,1,1,256,12,12,2359552,17408,5.477,430811
pad,,,360,10,10,,,360,12,12,0,0,0.086,
conv2d,PointWise,1,80,16,16,1,1,80,16,16,1638480,6720,4.306,380510
conv2d,PointWise,1,208,22,22,1,1,80,22,22,8053840,16960,17.826,451802
eltwise,,,,,,,,120,10,10,12000,0,1.052,11406
conv2d,PointWise,1,128,18,18,1,1,768,18,18,31851264,101376,76.911,414131
pad,,,288,4,4,,,288,6,6,0,0,0.015,
conv2d,PointWise,1,768,18,18,1,1,128,18,18,31850624,98816,73.628,432588
conv2d,PointWise,1,112,18,18,1,1,112,18,18,4064368,12992,9.918,409797
eltwise,,,,,,,,96,4,4,1536,0,0.136,11294
conv2d,PointWise,1,240,5,5,1,1,1440,5,5,8641440,351360,19.493,443309
pad,,,64,11,11,,,64,13,13,0,0,0.015,
conv2d,PointWise,1,1440,5,5,1,1,240,5,5,8640240,346560,21.441,402977
conv2d,PointWise,1,8,56,56,1,1,32,56,56,802848,384,5.299,151509
conv2d,PointWise,1,32,40,40,1,1,192,40,40,9830592,6912,30.227,325225
conv2d,PointWise,1,192,40,40,1,1,32,40,40,9830432,6272,20.442,480893
conv2d,PointWise,1,32,16,16,1,1,192,16,16,1573056,6912,5.467,287736
pad,,,1152,7,7,,,1152,11,11,0,0,0.196,
conv2d,PointWise,1,192,16,16,1,1,64,16,16,3145792,12544,7.412,424418
conv2d,PointWise,1,32,112,112,1,1,16,112,112,6422544,576,17.971,357383
eltwise,,,,,,,,192,7,7,9408,0,0.824,11417
conv2d,PointWise,1,64,12,12,1,1,384,12,12,3539328,26112,10.67,331708
pad,,,512,4,4,,,512,8,8,0,0,0.03,
conv2d,PointWise,1,384,12,12,1,1,64,12,12,3539008,24832,8.626,410272
conv2d,PointWise,1,80,24,24,1,1,112,24,24,5161072,9408,12.354,417765
conv2d,PointWise,1,32,28,28,1,1,88,28,28,2207832,3168,6.908,319605
pad,,,288,28,28,,,288,30,30,0,0,0.474,
conv2d,PointWise,1,8,24,24,1,1,40,24,24,184360,480,1.338,137787
conv2d,PointWise,1,24,40,40,1,1,40,40,40,1536040,1120,5.558,276365
pad,,,112,12,12,,,112,14,14,0,0,0.03,
conv2d,PointWise,1,96,10,10,1,1,576,10,10,5530176,57600,11.999,460886
conv2d,PointWise,1,576,10,10,1,1,96,10,10,5529696,55680,11.899,464719
pad,,,960,8,8,,,960,10,10,0,0,0.15,
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.049,398972
pad,,,80,28,28,,,80,34,34,0,0,0.144,
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.042,399319
pad,,,48,8,8,,,48,10,10,0,0,0.008,
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.047,399071
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.033,399766
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.047,399071
eltwise,,,,,,,,48,8,8,3072,0,0.27,11377
conv2d,PointWise,1,64,14,14,1,1,384,14,14,4817280,26112,13.993,344263
pad,,,128,4,4,,,128,8,8,0,0,0.009,
conv2d,PointWise,1,384,7,7,1,1,64,7,7,1204288,24832,2.6,463187
conv2d,PointWise,1,88,52,52,1,1,32,52,52,7614496,2944,17.782,428213
pad,,,352,12,12,,,352,16,16,0,0,0.133,
conv2d,PointWise,1,32,14,14,1,1,192,14,14,1204416,6912,3.436,350528
conv2d,PointWise,1,192,14,14,1,1,32,14,14,1204256,6272,2.636,456849
pad,,,64,12,12,,,64,14,14,0,0,0.018,
conv2d,PointWise,1,320,4,4,1,1,384,4,4,1966464,124416,4.647,423168
conv2d,PointWise,1,32,32,32,1,1,192,32,32,6291648,6912,19.144,328648
conv2d,PointWise,1,192,32,32,1,1,32,32,32,6291488,6272,13.288,473471
eltwise,,,,,,,,64,12,12,9216,0,0.808,11405
pad,,,72,7,7,,,72,9,9,0,0,0.008,
conv2d,PointWise,1,96,32,32,1,1,288,32,32,28311840,28800,65.86,429879
conv2d,PointWise,1,288,32,32,1,1,128,32,32,37748864,37376,78.123,483197
conv2d,PointWise,1,80,30,30,1,1,80,30,30,5760080,6720,13.593,423753
eltwise,,,,,,,,72,7,7,3528,0,0.309,11417
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,3.087,298594
conv2d,PointWise,1,40,32,32,1,1,208,32,32,8519888,9152,26.417,322515
conv2d,PointWise,1,40,16,16,1,1,240,16,16,2457840,10560,7.192,341746
conv2d,PointWise,1,240,16,16,1,1,40,16,16,2457640,9760,5.288,464757
conv2d,PointWise,1,96,4,4,1,1,576,4,4,885312,57600,2.486,356119
pad,,,96,6,6,,,96,8,8,0,0,0.008,
conv2d,PointWise,1,576,4,4,1,1,112,4,4,1032304,64960,2.384,433013
conv2d,PointWise,1,104,28,28,1,1,48,28,28,3913776,5184,9.364,417959
eltwise,,,,,,,,16,6,6,576,0,0.052,11076
pad,,,128,6,6,,,128,8,8,0,0,0.01,
conv2d,PointWise,1,48,12,12,1,1,24,12,12,165912,1248,0.54,307244
conv2d,PointWise,1,160,4,4,1,1,160,4,4,409760,26240,1.698,241319
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.428,432379
eltwise,,,,,,,,128,6,6,4608,0,0.404,11405
pad,,,640,15,15,,,640,21,21,0,0,0.423,
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.461,430466
pad,,,96,38,38,,,96,42,42,0,0,0.302,
conv2d,PointWise,1,48,40,40,1,1,96,40,40,7372896,4992,19.722,373841
pad,,,128,6,6,,,128,8,8,0,0,0.01,
conv2d,PointWise,1,8,32,32,1,1,16,32,32,131088,192,0.927,141411
conv2d,PointWise,1,64,8,8,1,1,384,8,8,1573248,26112,3.791,414995
conv2d,PointWise,1,384,8,8,1,1,64,8,8,1572928,24832,3.386,464538
pad,,,168,12,12,,,168,14,14,0,0,0.053,
conv2d,PointWise,1,96,24,24,1,1,176,24,24,9732272,17600,23.123,420891
conv2d,PointWise,1,16,56,56,1,1,24,56,56,1204248,480,4.61,261225
eltwise,,,,,,,,56,12,12,8064,0,0.705,11438
pad,,,48,48,48,,,48,52,52,0,0,0.231,
conv2d,PointWise,1,16,32,32,1,1,64,32,32,1048640,1280,4.23,247905
conv2d,PointWise,1,16,36,36,1,1,48,36,36,995376,960,3.952,251866
conv2d,PointWise,1,72,24,24,1,1,192,24,24,7962816,14592,21.186,375852
pad,,,528,6,6,,,528,8,8,0,0,0.046,
conv2d,PointWise,1,72,8,8,1,1,432,8,8,1991088,32832,4.969,400701
conv2d,PointWise,1,432,8,8,1,1,72,8,8,1990728,31392,4.307,462207
eltwise,,,,,,,,176,6,6,6336,0,0.556,11395
conv2d,PointWise,1,64,12,12,1,1,192,12,12,1769664,13056,5.317,332831
conv2d,PointWise,1,192,12,12,1,1,64,12,12,1769536,12544,4.465,396312
pad,,,8,4,4,,,8,6,6,0,0,0.003,
conv2d,PointWise,1,96,32,32,1,1,88,32,32,8650840,8800,19.691,439329
conv2d,PointWise,1,112,20,20,1,1,672,20,20,30106272,77952,72.24,416753
conv2d,PointWise,1,672,10,10,1,1,112,10,10,7526512,75712,16.142,466268
eltwise,,,,,,,,8,4,4,128,0,0.013,9846
pad,,,32,28,28,,,32,30,30,0,0,0.053,
conv2d,PointWise,1,112,5,5,1,1,672,5,5,1882272,77952,4.677,402452
conv2d,PointWise,1,672,5,5,1,1,176,5,5,2956976,118976,6.778,436260
conv2d,PointWise,1,64,20,20,1,1,384,20,20,9830784,26112,26.186,375421
pad,,,16,112,112,,,16,114,114,0,0,0.37,
conv2d,PointWise,1,384,10,10,1,1,96,10,10,3686496,37248,7.919,465525
conv2d,PointWise,1,192,6,6,1,1,192,6,6,1327296,37632,2.827,469506
conv2d,PointWise,1,176,20,20,1,1,144,20,20,10137744,25920,23.048,439853
eltwise,,,,,,,,16,112,112,200704,0,17.661,11364
pad,,,112,28,28,,,112,34,34,0,0,0.196,
conv2d,PointWise,1,80,7,7,1,1,480,7,7,1882080,40320,6.951,270763
pad,,,24,8,8,,,24,10,10,0,0,0.005,
conv2d,PointWise,1,480,4,4,1,1,80,4,4,614480,38720,1.426,430911
conv2d,PointWise,1,128,6,6,1,1,384,6,6,1769856,50688,3.964,446482
conv2d,PointWise,1,384,6,6,1,1,144,6,6,1990800,55872,4.206,473323
eltwise,,,,,,,,24,8,8,1536,0,0.135,11377
pad,,,640,9,9,,,640,15,15,0,0,0.185,
conv2d,PointWise,1,112,10,10,1,1,672,10,10,7527072,77952,21.749,346088
pad,,,448,18,18,,,448,24,24,0,0,0.401,
conv2d,PointWise,1,672,5,5,1,1,192,5,5,3225792,129792,7.413,435153
pad,,,320,7,7,,,320,9,9,0,0,0.032,
conv2d,PointWise,1,8,6,6,1,1,8,6,6,2312,96,0.023,100521
pad,,,64,14,14,,,64,16,16,0,0,0.023,
conv2d,PointWise,1,8,6,6,1,1,8,6,6,2312,96,0.022,105090
conv2d,PointWise,1,8,6,6,1,1,8,6,6,2312,96,0.021,110095
conv2d,PointWise,1,8,6,6,1,1,8,6,6,2312,96,0.021,110095
conv2d,PointWise,1,8,6,6,1,1,8,6,6,2312,96,0.032,72249
conv2d,PointWise,1,48,32,32,1,1,40,32,32,1966120,2080,5.243,374999
pad,,,120,32,32,,,120,38,38,0,0,0.331,
conv2d,PointWise,1,128,7,7,1,1,768,7,7,4817664,101376,16.376,294190
pad,,,96,6,6,,,96,8,8,0,0,0.008,
conv2d,PointWise,1,768,4,4,1,1,144,4,4,1769616,111168,4.187,422645
conv2d,PointWise,1,96,14,14,1,1,576,14,14,10838592,57600,28.861,375544
conv2d,PointWise,1,576,14,14,1,1,112,14,14,12644464,64960,29.534,428132
conv2d,PointWise,1,96,14,14,1,1,256,14,14,4817152,25600,10.712,449696
conv2d,PointWise,1,320,8,8,1,1,480,8,8,9830880,155520,27.608,356088
pad,,,128,8,8,,,128,12,12,0,0,0.019,
conv2d,PointWise,1,144,7,7,1,1,864,7,7,6097248,127872,13.094,465652
conv2d,PointWise,1,864,7,7,1,1,144,7,7,6096528,124992,13.719,444385
conv2d,PointWise,1,320,4,4,1,1,320,4,4,1638720,103680,6.356,257822
conv2d,PointWise,1,80,28,28,1,1,96,28,28,6021216,8064,14.376,418838
pad,,,64,10,10,,,64,14,14,0,0,0.015,
conv2d,PointWise,1,32,12,12,1,1,96,12,12,442464,3456,1.254,352842
conv2d,PointWise,1,80,5,5,1,1,80,5,5,160080,6720,0.431,371415
conv2d,PointWise,1,80,5,5,1,1,80,5,5,160080,6720,0.433,369699
pad,,,128,8,8,,,128,10,10,0,0,0.015,
conv2d,PointWise,1,64,4,4,1,1,384,4,4,393600,26112,1.235,318704
conv2d,PointWise,1,384,4,4,1,1,112,4,4,688240,43456,1.616,425891
pad,,,64,28,28,,,64,30,30,0,0,0.101,
conv2d,PointWise,1,24,60,60,1,1,40,60,60,3456040,1120,12.097,285693
conv2d,PointWise,1,112,22,22,1,1,672,22,22,36428448,77952,86.333,421952
conv2d,PointWise,1,672,22,22,1,1,112,22,22,36427888,75712,82.021,444128
conv2d,PointWise,1,176,8,8,1,1,528,8,8,5947920,95040,12.223,486617
conv2d,PointWise,1,528,8,8,1,1,176,8,8,5947568,93632,16.417,362281
conv2d,PointWise,1,64,40,40,1,1,64,40,40,6553664,4352,15.789,415077
pad,,,288,28,28,,,288,30,30,0,0,0.475,
conv2d,PointWise,1,112,8,8,1,1,336,8,8,2408784,38976,7.539,319509
conv2d,PointWise,1,336,4,4,1,1,144,4,4,774288,48960,1.825,424267
pad,,,192,28,28,,,192,32,32,0,0,0.345,
conv2d,PointWise,1,192,6,6,1,1,512,6,6,3539456,100352,7.598,465840
conv2d,PointWise,1,192,9,9,1,1,192,9,9,2986176,37632,8.695,343435
pad,,,32,36,36,,,32,38,38,0,0,0.084,
conv2d,PointWise,1,176,14,14,1,1,176,14,14,6071472,31680,15.003,404683
conv2d,PointWise,1,32,32,32,1,1,32,32,32,1048608,1152,3.222,325452
pad,,,176,8,8,,,176,10,10,0,0,0.022,
conv2d,PointWise,1,96,12,12,1,1,576,12,12,7963200,57600,22.243,358009
conv2d,PointWise,1,576,6,6,1,1,160,6,6,3317920,92800,7.332,452525
pad,,,128,8,8,,,128,10,10,0,0,0.015,
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.456,430755
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.461,430466
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.467,430120
pad,,,512,14,14,,,512,18,18,0,0,0.257,
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.458,430639
conv2d,PointWise,1,448,4,4,1,1,448,4,4,3211712,202496,7.46,430524
conv2d,PointWise,1,16,60,60,1,1,48,60,60,2764848,960,10.97,252037
eltwise,,,,,,,,176,8,8,22528,352,0.347,64922
conv2d,PointWise,1,64,52,52,1,1,40,52,52,6922280,2720,16.287,425018
eltwise,,,,,,,,176,8,8,11264,0,0.987,11412
pad,,,176,8,8,,,176,10,10,0,0,0.029,
conv2d,PointWise,1,128,26,26,1,1,104,26,26,8999016,13728,20.246,444483
eltwise,,,,,,,,176,8,8,11264,0,0.99,11377
conv2d,PointWise,1,32,18,18,1,1,192,18,18,1990848,6912,6.733,295685
conv2d,PointWise,1,192,18,18,1,1,128,18,18,7962752,25088,18.402,432711
conv2d,PointWise,1,96,14,14,1,1,576,14,14,10838592,57600,29.016,373538
eltwise,,,,,,,,176,8,8,11264,0,0.989,11389
eltwise,,,,,,,,176,8,8,11264,0,0.986,11423
eltwise,,,,,,,,176,8,8,11264,0,0.986,11423
eltwise,,,,,,,,176,8,8,11264,0,0.228,49403
eltwise,,,,,,,,176,8,8,11264,0,0.204,55215
conv2d,PointWise,1,576,7,7,1,1,112,7,7,3161200,64960,7.031,449608
conv2d,PointWise,1,80,10,10,1,1,480,10,10,3840480,40320,8.525,450496
conv2d,PointWise,1,480,10,10,1,1,80,10,10,3840080,38720,8.27,464338
conv2d,PointWise,1,120,2,2,1,1,120,2,2,57720,14880,0.295,195661
eltwise,,,,,,,,176,8,8,11264,0,0.991,11366
eltwise,,,,,,,,176,8,8,11264,0,0.986,11423
eltwise,,,,,,,,176,8,8,11264,0,0.986,11423
eltwise,,,,,,,,176,8,8,11264,0,0.986,11423
pad,,,96,48,48,,,96,50,50,0,0,0.535,
conv2d,PointWise,1,64,16,16,1,1,192,16,16,3145920,13056,7.561,416071
conv2d,PointWise,1,192,16,16,1,1,144,16,16,7078032,28224,16.795,421436
conv2d,PointWise,1,96,3,3,1,1,576,3,3,498240,57600,1.773,281015
conv2d,PointWise,1,576,3,3,1,1,112,3,3,580720,64960,1.639,354313
pad,,,16,56,56,,,16,58,58,0,0,0.102,
conv2d,PointWise,1,88,30,30,1,1,128,30,30,10137728,11776,24.921,406794
conv2d,PointWise,1,48,32,32,1,1,48,32,32,2359344,2496,6.271,376230
conv2d,PointWise,1,80,30,30,1,1,128,30,30,9216128,10752,22.039,418173
conv2d,PointWise,1,16,28,28,1,1,16,28,28,200720,320,0.828,242415
pad,,,416,26,26,,,416,30,30,0,0,0.66,
conv2d,PointWise,1,96,10,10,1,1,576,10,10,5530176,57600,16.262,340067
pad,,,384,7,7,,,384,11,11,0,0,0.054,
conv2d,PointWise,1,576,10,10,1,1,144,10,10,8294544,83520,21.116,392808
pad,,,144,4,4,,,144,6,6,0,0,0.007,
conv2d,PointWise,1,88,4,4,1,1,512,4,4,721408,47104,2.185,330163
conv2d,PointWise,1,56,8,8,1,1,320,8,8,1147200,19200,4.383,261738
conv2d,PointWise,1,64,14,14,1,1,512,14,14,6423040,34816,18.584,345622
pad,,,768,5,5,,,768,7,7,0,0,0.058,
conv2d,PointWise,1,48,56,56,1,1,40,56,56,6021160,2080,15.144,397593
conv2d,PointWise,1,256,20,20,1,1,256,20,20,26214656,66560,58.128,450981
eltwise,,,,,,,,128,5,5,3200,0,0.282,11347
pad,,,512,24,24,,,512,28,28,0,0,0.703,
conv2d,PointWise,1,40,56,56,1,1,40,56,56,5017640,1760,14.576,344239
pad,,,128,16,16,,,128,18,18,0,0,0.077,
conv2d,PointWise,1,80,44,44,1,1,80,44,44,12390480,6720,28.241,438740
conv2d,PointWise,1,96,3,3,1,1,288,3,3,249120,28800,0.889,280224
conv2d,PointWise,1,288,3,3,1,1,144,3,3,373392,42048,1.105,337911
pad,,,112,14,14,,,112,16,16,0,0,0.044,
conv2d,PointWise,1,160,26,26,1,1,80,26,26,8652880,13120,18.987,455726
conv2d,PointWise,1,56,2,2,1,1,336,2,2,75600,20160,0.516,146511
conv2d,PointWise,1,336,2,2,1,1,56,2,2,75320,19040,0.308,244545
pad,,,24,56,56,,,24,58,58,0,0,0.158,
conv2d,PointWise,1,48,48,48,1,1,112,48,48,12386416,5824,32.974,375641
conv2d,PointWise,1,72,6,6,1,1,72,6,6,186696,5472,0.496,376403
conv2d,PointWise,1,72,6,6,1,1,72,6,6,186696,5472,0.497,375645
pad,,,64,8,8,,,64,10,10,0,0,0.009,
conv2d,PointWise,1,88,12,12,1,1,528,12,12,6691344,48576,19.661,340335
conv2d,PointWise,1,528,12,12,1,1,88,12,12,6690904,46816,16.264,411393
pad,,,72,10,10,,,72,12,12,0,0,0.015,
conv2d,PointWise,1,32,24,24,1,1,32,24,24,589856,1152,1.898,310777
conv2d,PointWise,1,144,14,14,1,1,864,14,14,24386400,127872,61.23,398275
conv2d,PointWise,1,864,14,14,1,1,144,14,14,24385680,124992,58.597,416159
eltwise,,,,,,,,72,10,10,7200,0,0.63,11428
pad,,,96,12,12,,,96,16,16,0,0,0.03,
conv2d,PointWise,1,24,8,8,1,1,144,8,8,221328,4032,0.83,266660
conv2d,PointWise,1,144,8,8,1,1,24,8,8,221208,3552,0.466,474695
conv2d,PointWise,1,144,6,6,1,1,288,6,6,1493280,42624,5.11,292227
conv2d,PointWise,1,112,8,8,1,1,672,8,8,4817568,77952,15.091,319234
conv2d,PointWise,1,672,8,8,1,1,144,8,8,6193296,97344,13.59,455724
conv2d,PointWise,1,16,28,28,1,1,80,28,28,1003600,1600,4.085,245679
pad,,,192,8,8,,,192,10,10,0,0,0.023,
conv2d,PointWise,1,72,32,32,1,1,72,32,32,5308488,5472,13.404,396037
conv2d,PointWise,1,144,4,4,1,1,432,4,4,995760,63936,2.604,382396
conv2d,PointWise,1,432,4,4,1,1,144,4,4,995472,62784,2.324,428344
pad,,,104,14,14,,,104,16,16,0,0,0.055,
conv2d,PointWise,1,16,48,48,1,1,72,48,48,2654280,1440,10.127,262099
conv2d,PointWise,1,480,12,12,1,1,80,12,12,5529680,38720,13.444,411312
conv2d,PointWise,1,112,8,8,1,1,112,8,8,802928,12992,1.734,463049
eltwise,,,,,,,,104,14,14,20384,0,1.78,11451
pad,,,40,24,24,,,40,26,26,0,0,0.06,
conv2d,PointWise,1,208,4,4,1,1,1248,4,4,4154592,264576,10.175,408313
conv2d,PointWise,1,1248,4,4,1,1,208,4,4,4153552,260416,10.554,393552
conv2d,PointWise,1,96,36,36,1,1,40,36,36,4976680,4000,11.192,444664
eltwise,,,,,,,,40,24,24,23040,0,2.015,11434
pad,,,128,20,20,,,128,22,22,0,0,0.105,
conv2d,PointWise,1,56,3,3,1,1,280,3,3,141400,16800,0.647,218547
conv2d,PointWise,1,80,16,16,1,1,240,16,16,4915440,20160,11.551,425542
conv2d,PointWise,1,240,16,16,1,1,112,16,16,6881392,27328,15.981,430598
pad,,,80,26,26,,,80,28,28,0,0,0.11,
conv2d,PointWise,1,32,24,24,1,1,96,24,24,1769568,3456,5.339,331441
conv2d,PointWise,1,96,24,24,1,1,48,24,24,2654256,4800,6.277,422854
conv2d,PointWise,1,96,10,10,1,1,128,10,10,1228928,12800,2.681,458384
pad,,,128,20,20,,,128,24,24,0,0,0.119,
conv2d,PointWise,1,64,20,20,1,1,384,20,20,9830784,26112,24.272,405025
pad,,,8,96,96,,,8,98,98,0,0,0.148,
conv2d,PointWise,1,384,20,20,1,1,64,20,20,9830464,24832,20.615,476859
pad,,,16,96,96,,,16,98,98,0,0,0.284,
conv2d,PointWise,1,8,72,72,1,1,40,72,72,1658920,480,10.749,154332
conv2d,PointWise,1,48,40,40,1,1,32,40,40,2457632,1664,6.379,385269
conv2d,PointWise,1,480,3,3,1,1,480,3,3,2074080,232320,5.859,353998
conv2d,PointWise,1,480,3,3,1,1,480,3,3,2074080,232320,5.876,352974
pad,,,288,14,14,,,288,16,16,0,0,0.122,
conv2d,PointWise,1,48,40,40,1,1,144,40,40,11059344,7488,29.484,375096
conv2d,PointWise,1,144,40,40,1,1,48,40,40,11059248,7104,23.465,471308
conv2d,PointWise,1,160,16,16,1,1,160,16,16,6553760,26240,15.798,414847
pad,,,144,3,3,,,144,5,5,0,0,0.005,
conv2d,PointWise,1,72,10,10,1,1,216,10,10,1555416,16416,3.798,409535
conv2d,PointWise,1,216,10,10,1,1,72,10,10,1555272,15840,3.397,457836
eltwise,,,,,,,,24,3,3,216,0,0.021,10285
pad,,,64,36,36,,,64,38,38,0,0,0.165,
conv2d,PointWise,1,416,6,6,1,1,416,6,6,6230432,174720,13.282,469088
conv2d,PointWise,1,416,6,6,1,1,416,6,6,6230432,174720,13.278,469229
conv2d,PointWise,1,416,6,6,1,1,416,6,6,6230432,174720,13.277,469265
pad,,,240,16,16,,,240,18,18,0,0,0.125,
conv2d,PointWise,1,416,6,6,1,1,416,6,6,6230432,174720,13.269,469547
conv2d,PointWise,1,416,6,6,1,1,416,6,6,6230432,174720,19.41,320990
eltwise,,,,,,,,80,16,16,20480,0,1.794,11415
conv2d,PointWise,1,16,80,80,1,1,48,80,80,4915248,960,19.438,252867
conv2d,PointWise,1,48,80,80,1,1,16,80,80,4915216,832,12.245,401405
pad,,,672,10,10,,,672,14,14,0,0,0.192,
conv2d,PointWise,1,48,40,40,1,1,48,40,40,3686448,2496,9.515,387435
conv2d,PointWise,1,80,14,14,1,1,80,14,14,1254480,6720,2.893,433625
pad,,,16,80,80,,,16,82,82,0,0,0.198,
conv2d,PointWise,1,80,14,14,1,1,80,14,14,1254480,6720,2.893,433625
conv2d,PointWise,1,80,14,14,1,1,80,14,14,1254480,6720,2.888,434376
conv2d,PointWise,1,80,14,14,1,1,80,14,14,1254480,6720,2.884,434979
conv2d,PointWise,1,80,14,14,1,1,80,14,14,1254480,6720,3.399,369073
pad,,,8,12,12,,,8,14,14,0,0,0.005,
conv2d,PointWise,1,112,4,4,1,1,672,4,4,1204896,77952,3.255,370167
conv2d,PointWise,1,672,4,4,1,1,112,4,4,1204336,75712,2.83,425560
conv2d,PointWise,1,144,8,8,1,1,288,8,8,2654496,42624,8.026,330737
pad,,,176,7,7,,,176,9,9,0,0,0.019,
conv2d,PointWise,1,80,7,7,1,1,480,7,7,1882080,40320,4.458,422180
conv2d,PointWise,1,480,7,7,1,1,192,7,7,4516032,92928,13.668,330409
conv2d,PointWise,1,128,10,10,1,1,768,10,10,9831168,101376,27.81,353511
eltwise,,,,,,,,176,7,7,8624,0,0.754,11437
pad,,,320,15,15,,,320,19,19,0,0,0.183,
conv2d,PointWise,1,768,5,5,1,1,144,5,5,2764944,111168,6.483,426491
pad,,,208,13,13,,,208,15,15,0,0,0.074,
